model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8515712969597707,0.7323205866946045,0.5982028241335045,0.658502119642016,0.9072753138655401
Logistic Regression,0.8515712969597707,0.7323205866946045,0.5982028241335045,0.658502119642016,0.9072753138655401
Random Forest,0.8539256832838571,0.7263681592039801,0.6247325631151048,0.6717276282493674,0.9061097899517888
Random Forest,0.8539256832838571,0.7263681592039801,0.6247325631151048,0.6717276282493674,0.9061097899517888
SVM (5k train sample),0.8542327771522162,0.7490452809601745,0.5875053487376979,0.6585131894484413,0.8963965341100921
KNN (k=5),0.8339645818405159,0.6734594856865599,0.5939238339751819,0.6311959981809914,0.8605072526349875
KNN (k=5),0.8339645818405159,0.6734594856865599,0.5939238339751819,0.6311959981809914,0.8605072526349875
Decision Tree,0.812672740300952,0.6029232643118149,0.6354300385109114,0.61875,0.751918463819503
Decision Tree,0.812672740300952,0.6029232643118149,0.6354300385109114,0.61875,0.751918463819503
Baseline (most frequent),0.7607738765482649,0.0,0.0,0.0,0.5
Baseline (most frequent),0.7607738765482649,0.0,0.0,0.0,0.5
