model,accuracy,f1,roc_auc,fit_seconds
HistGradientBoosting,0.8717371276486846,0.7081295131609597,0.9257778347221586,0.8601877689361572
Stacking,0.8727607738765483,0.7086946332317787,0.9249340870712581,10.069514751434326
Gradient Boosting,0.8686661889650936,0.6874543239951278,0.9208261773931807,4.668986797332764
Voting (soft),0.8679496366055891,0.6954674220963173,0.9194498136779097,4.227084398269653
AdaBoost,0.8582249974408844,0.665216340343244,0.9090868381467643,2.729309558868408
Logistic Regression,0.8511618384686253,0.6546318289786224,0.9039162576859086,2.397721290588379
Bagging,0.8569966219674481,0.675644299976782,0.9030650274512972,7.983478784561157
Random Forest,0.8574060804585935,0.6764227642276422,0.9028332400312704,1.0821433067321777
KNN (k=15),0.8415395639267069,0.6428241808952468,0.8862624540411075,0.060094356536865234
Decision Tree,0.8121609171870202,0.6121327414922849,0.7460813996898067,-0.39569997787475586
Voting (hard),0.8689732828334528,0.6979707409155262,,3.3742997646331787
