model,train_rmse,val_rmse,train_r2,val_r2
Ridge + QuantileTransformer (a=10),0.5769114820393144,0.6075535998227698,0.7487351395566351,0.7311797898949898
Ridge + QuantileTransformer (a=1),0.5768162551087347,0.607873434951539,0.7488180819400588,0.7308966847423704
QuantileTransformer + Linear (d=1),0.7225708091119903,0.7254836556819909,0.6058384867938513,0.6166919106317597
Linear Regression,0.7172025554354491,0.727837969317587,0.6116734827092913,0.6142000785497264
Poly (d=1),0.7172025554354491,0.7278379693175872,0.6116734827092913,0.6142000785497262
ElasticNet (ratio=0.8),0.7991126521940958,0.8051152508351433,0.5179085770848931,0.5279273651791427
Lasso (a=0.1),0.8122865881618657,0.8200379668806924,0.5018823204133449,0.5102655674582175
Lasso (a=0.01),0.6749596194184465,0.8623604302196399,0.6560708600830678,0.45841034488795973
ElasticNet (ratio=0.5),0.7796401207635428,0.8683180248715592,0.541117229859061,0.4509013802774201
Poly (d=2),0.6490456791833564,0.9546334044307985,0.681973054999472,0.33630893117692096
Lasso (a=1),1.1509151433486544,1.171902614670744,0.0,-0.0001744722947540911
Baseline,1.1509151433486544,1.171902614670744,0.0,-0.0001744722947540911
ElasticNet (ratio=0.2),0.7392630384599226,1.2717616427552947,0.5874169546679782,-0.17788845125699293
Ridge (a=1000),0.6874225034022023,2.1904527796245303,0.6432525468606235,-2.494302589378797
Ridge (a=100),0.6257719483436162,10.262810506966941,0.7043719945991922,-75.705294126967
Lasso (a=0.0001),0.5995116957676851,10.515542619126899,0.7286631921748423,-79.52970257607744
Lasso (a=0.001),0.6122015530092159,20.282203001167066,0.7170548558030989,-298.58700385599013
Ridge (a=10),0.6038770056439232,24.405254213838013,0.7246973593890198,-432.769878558529
Ridge (a=1),0.5959155900529683,50.020217244290144,0.7319085979590332,-1821.148913767618
Ridge (a=0.1),0.5898901395724554,159.4125517574975,0.7373026664583231,-18506.07336969245
Ridge (a=0.01),0.5845252503575761,178.53377656930508,0.7420592582616735,-23212.11927535136
Ridge (a=0.001),0.5828893511648743,307.8543526880563,0.7435010251599168,-69020.32879153203
Poly (d=3),0.5825520140346981,1468.8941923717593,0.7437978279407468,-1571351.955696131
